campus,building_code,room_number,is_lab,is_lecture_hall,is_learning_studio,capacity,is_active,comments
CS,AIEN,M309,False,False,False,9999,False,
CS,ARCA,107A,False,False,False,9999,False,
CS,ARCA,107B,False,False,False,9999,False,
CS,ARCB,101,False,False,False,9999,False,
CS,ARCB,209,False,False,False,9999,False,
CS,ARCC,105,False,False,False,9999,False,
CS,ARCC,109A,False,False,False,9999,False,
CS,ARCC,109C,False,False,False,9999,False,
CS,ARCC,111,False,False,False,9999,False,
CS,ARCC,205,False,False,False,9999,False,
CS,ARCC,207,False,False,False,9999,False,
CS,ARCC,305,False,False,False,9999,False,
CS,ARCC,307,False,False,False,9999,False,
CS,ARCC,414,False,False,False,9999,False,
CS,BLOC,113,False,False,False,9999,False,
CS,BLOC,117,False,False,False,9999,False,
CS,BLOC,120,False,False,False,9999,False,
CS,BLOC,121,False,False,False,9999,False,
CS,BLOC,149,False,False,False,9999,False,
CS,BLOC,150,False,False,False,9999,False,
CS,BLOC,160,False,False,False,9999,False,
CS,BLOC,161,False,False,False,9999,False,
CS,C E,007,False,False,False,9999,False,
CS,C E,118,False,False,False,9999,False,
CS,C E,203,False,False,False,9999,False,
CS,C E,219,False,False,False,9999,False,
CS,C E,222,False,False,False,9999,False,
CS,C E,223,False,False,False,9999,False,
CS,CHEM,2102,False,False,False,9999,False,
CS,CHEM,2104,False,False,False,9999,False,
CS,CHEM,2121,False,False,False,9999,False,
CS,CHEM,2122,False,False,False,9999,False,
CS,CHEM,255,False,False,False,9999,False,
CS,CHEN,102,False,False,False,9999,False,
CS,CHEN,104,False,False,False,9999,False,
CS,CHEN,106,False,False,False,9999,False,
CS,CHEN,108,False,False,False,9999,False,
CS,CHEN,111,False,False,False,9999,False,
CS,CHEN,112,False,False,False,9999,False,
GV,CLB,109,False,False,False,9999,False,
GV,CLB,111,False,False,False,9999,False,
GV,CLB,114,False,False,False,9999,False,
GV,CLB,210,False,False,False,9999,False,
GV,CLB,215,False,False,False,9999,False,
GV,CLB,216,False,False,False,9999,False,
CS,CSA,303,False,False,False,9999,False,
CS,CVE,203,False,False,False,9999,False,
CS,CVLB,418,False,False,False,9999,False,
CS,CVLB,419,False,False,False,9999,False,
CS,CVLB,421,False,False,False,9999,False,
CS,EABA,118,True,True,True,75,True,
CS,EABA,121,True,True,True,100,True,
CS,EABB,106,False,True,False,118,True,
CS,EABA,108,False,False,False,9999,False,
CS,ENPH,202,False,False,False,9999,False,
CS,ENPH,205,False,False,False,9999,False,
CS,ENPH,206,False,False,False,9999,False,
CS,ETB,1005,False,False,False,9999,False,
CS,ETB,1020,False,False,False,9999,False,
CS,ETB,1034,False,False,False,9999,False,
CS,ETB,1035,False,False,False,9999,False,
CS,ETB,2005,False,False,False,9999,False,
CS,ETB,2026,False,False,False,9999,False,
CS,ETB,3002,False,False,False,9999,False,
CS,FERM,110,False,False,False,9999,False,
CS,FERM,303,False,False,False,9999,False,
CS,FRAN,102,False,False,False,9999,False,
CS,FRAN,201,False,False,False,9999,False,
CS,HALB,101,False,False,False,9999,False,
CS,HALB,105,False,False,False,9999,False,
CS,HEB,118,False,False,False,9999,False,
CS,HEB,137,False,False,False,9999,False,
CS,HEB,203,False,False,False,9999,False,
CS,HECC,100,False,False,False,9999,False,
CS,HECC,108,False,False,False,9999,False,
CS,HECC,200,False,False,False,9999,False,
CS,HECC,201,False,False,False,9999,False,
CS,HECC,203,False,False,False,9999,False,
CS,HECM,119,False,False,False,9999,False,
CS,HECM,120,False,False,False,9999,False,
CS,HECM,206,False,False,False,9999,False,
CS,HELD,105,False,False,False,9999,False,
CS,HELD,107,False,False,False,9999,False,
CS,HELD,111,False,False,False,9999,False,
CS,HELD,113,False,False,False,9999,False,
CS,HELD,200,False,False,False,9999,False,
CS,HRBB,113,False,True,True,65,True,
CS,HRBB,124,False,True,False,135,True,
CS,HRBB,126,False,True,True,30,True,
CS,HRBB,104,False,False,False,9999,False,
CS,HRBB,105,False,False,False,9999,False,
CS,HRBB,115,False,False,False,9999,False,
CS,HRBB,122,False,False,False,9999,False,
CS,HRBB,131,False,False,False,9999,False,
CS,HRBB,203,False,False,False,9999,False,
CS,HRBB,204,False,False,False,9999,False,
CS,HRBB,209,False,False,False,9999,False,
CS,HRBB,210,False,False,False,9999,False,
CS,HRBB,217,False,False,False,9999,False,
CS,HRBB,218,False,False,False,9999,False,
CS,HRBB,219,False,False,False,9999,False,
CS,HRBB,229,False,False,False,9999,False,
CS,HRBB,232,False,False,False,9999,False,
CS,HRBB,302,False,False,False,9999,False,
CS,ILCB,112,False,False,False,9999,False,
CS,ILCB,207,False,False,False,9999,False,
CS,ILCB,233,False,False,False,9999,False,
GV,KIRK,128,False,False,False,9999,False,
GV,KIRK,206,False,False,False,9999,False,
GV,KIRK,207,False,False,False,9999,False,
CS,KLCT,115,False,False,False,9999,False,
CS,LAAH,124,False,False,False,9999,False,
GV,MAIN,114,False,False,False,9999,False,
GV,MAIN,212,False,False,False,9999,False,
GV,MAIN,213,False,False,False,9999,False,
GV,MAIN,218,False,False,False,9999,False,
GV,MAIN,302,False,False,False,9999,False,
GV,MAIN,303,False,False,False,9999,False,
GV,MAIN,315,False,False,False,9999,False,
CS,MERC,242,False,False,False,9999,False,
CS,MPHY,107,False,False,False,9999,False,
CS,MPHY,205,False,False,False,9999,False,
CS,O&M,103,False,False,False,9999,False,
CS,O&M,110,False,False,False,9999,False,
CS,O&M,112,False,False,False,9999,False,
CS,O&M,206,False,False,False,9999,False,
GV,OCSB,141,False,False,False,9999,False,
CS,ONLINE,ONLINE,False,False,False,9999,True,
CS,PETR,104,False,False,False,9999,False,
CS,PETR,118,False,False,False,9999,False,
GV,PMEC,147,False,False,False,9999,False,
GV,PMEC,242,False,False,False,9999,False,
GV,PMEC,243,False,False,False,9999,False,
CS,PSYC,108,False,False,False,9999,False,
CS,RDMC,111A,False,False,False,30,False,
CS,RDMC,111H,False,False,False,30,False,
CS,RDMC,111B,False,False,False,9999,False,
CS,RDMC,111C,False,False,False,9999,False,
CS,RDMC,111J,False,False,False,9999,False,
CS,RICH,101,False,False,False,9999,False,
CS,RICH,106,False,False,False,9999,False,
CS,RICH,114,False,False,False,9999,False,
CS,RICH,208,False,False,False,9999,False,
CS,RICH,302,False,False,False,9999,False,
CS,RICH,319,False,False,False,9999,False,
CS,RICH,907,False,False,False,9999,False,
CS,RICH,910,False,False,False,9999,False,
CS,RICH,912B,False,False,False,9999,False,
CS,SCTS,208,False,False,False,9999,False,
CS,SCTS,216,False,False,False,9999,False,
CS,SCTS,317,False,False,False,9999,False,
CS,TEAG,326,False,False,False,9999,False,
CS,THOM,009C,False,False,False,9999,False,
CS,THOM,107A,False,False,False,9999,False,
CS,THOM,121,False,False,False,9999,False,
CS,WCBA,161,False,False,False,9999,False,
CS,ZACH,102,False,False,False,9999,False,
CS,ZACH,105A,False,False,False,9999,False,
CS,ZACH,105B,False,False,False,9999,False,
CS,ZACH,119A,False,False,False,9999,False,
CS,ZACH,119C,False,False,False,9999,False,
CS,ZACH,210,False,False,False,9999,False,
CS,ZACH,211,False,False,False,9999,False,
CS,ZACH,212,False,False,False,9999,False,
CS,ZACH,218,False,False,False,9999,False,
CS,ZACH,223A,False,False,False,9999,False,
CS,ZACH,223D,False,False,False,9999,False,
CS,ZACH,240,False,False,False,9999,False,
CS,ZACH,241,False,False,False,9999,False,
CS,ZACH,260,False,False,False,9999,False,
CS,ZACH,261,False,False,False,9999,False,
CS,ZACH,244,False,True,True,100,True,
CS,ZACH,310,False,True,True,100,True,
CS,ZACH,350,False,True,True,100,True,
CS,ZACH,311,False,False,False,9999,False,
CS,ZACH,312,False,False,False,9999,False,
CS,ZACH,315,False,False,False,9999,False,
CS,ZACH,340,False,False,False,9999,False,
CS,ZACH,341,False,False,False,9999,False,
CS,ZACH,342,False,False,False,9999,False,
CS,ZACH,344,False,False,False,9999,False,
CS,ZACH,345,False,False,False,9999,False,
CS,ZACH,353,False,False,False,9999,False,
CS,ZACH,360,False,False,False,9999,False,
CS,ZACH,361,False,False,False,9999,False,
CS,ZACH,362,False,False,False,9999,False,
CS,ZACH,440,False,False,False,9999,False,
CS,ZACH,441,False,False,False,9999,False,
CS,ZACH,442,False,False,False,9999,False,
CS,ZACH,444,False,False,False,9999,False,
CS,ZACH,445,False,False,False,9999,False,
CS,ZACH,590,True,False,False,34,True,
CS,ZACH,582,True,False,False,24,True,
CS,ZACH,584,True,False,False,24,True,
CS,ZACH,596,True,False,False,24,True,
CS,ZACH,598,True,False,False,24,True,
CS,ZACH,592,True,False,False,24,True,No power!
